DATE,BUSAPPWNSAUS
2012-02-11,60930
2012-02-18,60190
2012-02-25,56590
2012-03-03,54660
2012-03-10,60630
2012-03-17,60030
2012-03-24,59650
2012-03-31,57130
2012-04-07,58860
2012-04-14,56430
2012-04-21,53360
2012-04-28,55780
2012-05-05,53910
2012-05-12,54140
2012-05-19,52580
2012-05-26,51250
2012-06-02,49940
2012-06-09,40950
2012-06-16,50550
2012-06-23,48560
2012-06-30,48550
2012-07-07,48500
2012-07-14,38020
2012-07-21,45360
2012-07-28,46640
2012-08-04,46490
2012-08-11,46480
2012-08-18,45230
2012-08-25,45830
2012-09-01,46870
2012-09-08,38260
2012-09-15,34610
2012-09-22,53990
2012-09-29,48720
2012-10-06,47770
2012-10-13,48010
2012-10-20,40570
2012-10-27,47160
2012-11-03,47030
2012-11-10,41390
2012-11-17,43050
2012-11-24,40640
2012-12-01,34760
2012-12-08,38530
2012-12-15,42260
2012-12-22,36200
2012-12-29,85450
2013-01-05,28760
2013-01-12,53880
2013-01-19,69410
2013-01-26,54750
2013-02-02,59600
2013-02-09,55630
2013-02-16,55970
2013-02-23,52290
2013-03-02,59670
2013-03-09,59600
2013-03-16,58560
2013-03-23,58780
2013-03-30,56800
2013-04-06,53380
2013-04-13,56530
2013-04-20,55520
2013-04-27,54120
2013-05-04,56450
2013-05-11,53320
2013-05-18,50340
2013-05-25,41650
2013-06-01,44950
2013-06-08,52010
2013-06-15,34990
2013-06-22,55340
2013-06-29,57520
2013-07-06,32720
2013-07-13,53460
2013-07-20,50030
2013-07-27,47840
2013-08-03,49800
2013-08-10,49540
2013-08-17,48110
2013-08-24,48680
2013-08-31,49850
2013-09-07,37770
2013-09-14,51470
2013-09-21,50590
2013-09-28,40850
2013-10-05,56780
2013-10-12,41980
2013-10-19,37850
2013-10-26,51830
2013-11-02,52530
2013-11-09,49810
2013-11-16,42400
2013-11-23,49650
2013-11-30,36870
2013-12-07,41410
2013-12-14,45630
2013-12-21,46660
2013-12-28,33820
2014-01-04,12220
2014-01-11,63630
2014-01-18,71210
2014-01-25,52090
2014-02-01,60530
2014-02-08,60690
2014-02-15,58600
2014-02-22,53900
2014-03-01,62430
2014-03-08,61290
2014-03-15,61100
2014-03-22,61470
2014-03-29,63160
2014-04-05,61420
2014-04-12,58720
2014-04-19,57230
2014-04-26,54910
2014-05-03,58230
2014-05-10,55750
2014-05-17,53180
2014-05-24,53810
2014-05-31,42670
2014-06-07,53760
2014-06-14,52500
2014-06-21,51300
2014-06-28,51900
2014-07-05,49470
2014-07-12,41160
2014-07-19,48090
2014-07-26,50540
2014-08-02,49970
2014-08-09,49470
2014-08-16,49980
2014-08-23,50950
2014-08-30,50810
2014-09-06,40720
2014-09-13,51370
2014-09-20,51140
2014-09-27,51210
2014-10-04,50870
2014-10-11,50340
2014-10-18,43610
2014-10-25,48730
2014-11-01,50850
2014-11-08,49080
2014-11-15,44050
2014-11-22,47410
2014-11-29,36520
2014-12-06,43340
2014-12-13,48090
2014-12-20,48480
2014-12-27,35030
2015-01-03,12220
2015-01-10,73230
2015-01-17,50240
2015-01-24,69250
2015-01-31,64460
2015-02-07,63490
2015-02-14,63010
2015-02-21,54680
2015-02-28,61900
2015-03-07,62400
2015-03-14,60760
2015-03-21,62460
2015-03-28,62700
2015-04-04,61920
2015-04-11,56280
2015-04-18,59400
2015-04-25,59430
2015-05-02,59200
2015-05-09,54710
2015-05-16,55920
2015-05-23,56450
2015-05-30,45440
2015-06-06,56610
2015-06-13,53540
2015-06-20,53490
2015-06-27,53810
2015-07-04,52570
2015-07-11,45890
2015-07-18,51030
2015-07-25,51810
2015-08-01,54220
2015-08-08,51600
2015-08-15,52590
2015-08-22,52110
2015-08-29,52560
2015-09-05,53170
2015-09-12,42870
2015-09-19,52360
2015-09-26,54310
2015-10-03,54040
2015-10-10,52930
2015-10-17,47330
2015-10-24,55480
2015-10-31,52990
2015-11-07,50490
2015-11-14,48700
2015-11-21,50630
2015-11-28,37290
2015-12-05,44420
2015-12-12,51120
2015-12-19,50740
2015-12-26,40210
2016-01-02,17080
2016-01-09,74970
2016-01-16,52380
2016-01-23,72360
2016-01-30,64180
2016-02-06,54560
2016-02-13,73690
2016-02-20,61490
2016-02-27,66660
2016-03-05,65810
2016-03-12,65960
2016-03-19,63790
